CustomerID,CustomerName,MemberCategory,Age,Gender,AmountSpent,Address,City,CountryCode,ContactTitle,PhoneNumber
2669,Boh Lee Ming Lynn,C,23,F,41.99,"Blk 671, Woodlands Dr 71 #04-51, Singapore 0512",Singapore,SIN,Ms,2234567
2688,Kathleen Loh Swat Hong,A,38,F,39.16,"Blk 56, #08-161 Telok Blangah Heights, Singapore 0410",Singapore,SIN,Ms,2735765
2741,Goh Chee Eng,C,45,F,25.91,Blk 267 Sembawang Drive #08-349 Singapore 2369,Singapore,SIN,Ms,5553849
2820,Ng Wee Hock John,A,56,M,66.22,"Blk 417, Woodlands St 41, #02-143, Singapore 2573",Singapore,SIN,Mr,3622055
2828,Cheryl Song,C,35,F,83.59,"Blk 26, Bayshore Road, #23-07, Singapore 1647",Paris,FRA,Ms,2459304
2876,Kan May Yoke Michelle,C,43,F,56.61,"Blk 710 Ang Mo Kio Ave 8 #04-2613, Singapore 2056",Singapore,SIN,Ms,4554591
2983,Cheryl Tan,A,37,F,13.99,"Blk 84, Telok Blangah Heights, #06-323, Singapore 1004",Singapore,SIN,Ms,2789967
3845,Tan Choon Heong,A,21,M,10.82,"Blk 303, Shunfu Road, #03-59, Singapore 4567",Singapore,SIN,Mr,3580709
4312,Leong Wai Fun,A,23,F,56.25,"Blk 43, Hindhede Walk, #04-06, Singapore 1234",Geneva,SWZ,Ms,4674116
4321,Kok Kah Chee,C,51,M,99.52,"Blk 224, Jurong North St 2, #100-01, Singapore 2264",Penang,MAL,Mr,5696231
4567,Abdul Zaidi,A,29,M,31.65,"Blk 24, Telok Blangah Crescent, #14-14, Singapore 0409",Singapore,SIN,Mr,2709466
5108,Cho Wee Weng,A,50,M,24.8,"Blk 208, Toa Payoh North, #08-1271, Singapore 1234",Singapore,SIN,Mr,2541126
5156,Lee Boon Kiat,A,32,M,73.91,"26A, Lengkong Satu, Singapore 1441",Singapore,SIN,Mr,4423368
5168,Constance Yong,C,46,F,30.64,Blk 673 Bukit Batok St 67 #08-987 Singapore 1968,Singapore,SIN,Ms,7771357
5489,Ang Kim Beng,A,45,M,32.09,Blk 208 Bedok North St 3 #12-234 Singapore 1644,Singapore,SIN,Mr,4486578
5568,Kam Teng Mun,A,26,M,17.84,"Blk 894, Tampines St 81,#10-933,Singapore 1646",Singapore,SIN,Mr,7825643
5968,Tan Wei Wei,A,48,F,71.6,"3, Kismis Place, Singapore 2159",Singapore,SIN,Ms,4674463
6542,Lam Yen Hsia,C,44,F,81.8,"Blk 92, Bedok North Ave 4, #08-1491, Singapore 1646",Singapore,SIN,Ms,4452718
6598,Choey Choon Yen,A,28,M,88.01,"30, Dedap Road, Singapore 2880",Singapore,SIN,Mr,4847698
6628,Margaret Ng,A,30,F,57.19,"Blk 835, Hougang Green, #11-221, Singapore 1953",Singapore,SIN,Ms,3853767
6932,Ng Hwee Ling,A,37,F,17.83,"280, Bedok Road, Singapore 1646",Singapore,SIN,Ms,2420425
6969,Jason Young,C,52,M,15.85,blk 48 dorset rd #24-111 singapore 0821,Singapore,SIN,Mr,6969696
7345,P Ravichandran,B,34,M,78.73,"Blk 612, Clementi West Street 1, #09-290, Singapore 2612",Singapore,SIN,Mr,7755113
7616,Cheong Pei Sian,B,57,F,92.57,"8 Westwood Walk, Singapore 1234",Singapore,SIN,Ms,7918584
7856,Rajaram Venkatesh,A,57,M,4.56,"Blk 143, Petir road, #07-232, Singapore 3226",Singapore,SIN,Mr,7634227
8080,Chan Chin Fung,B,56,M,24.95,"6 Dover Rise, #17-11, Singapore 1234",Singapore,SIN,Mr,8738529
8756,Lu Yun Christine,B,22,F,80.56,"Blk 302, Clementi Ave 4, #05-539, Singapore 0302",Singapore,SIN,Ms,7759223
8788,Fu Shou Jeen,A,59,M,75.43,"9 Broadrick Road, Singapore 1543",Singapore,SIN,Mr,3468656
8888,Kelvin Koh,B,53,M,16,"Blk 25, Towner Road, #04-09, Singapore 2345",Singapore,SIN,Mr,7789876
8929,Neo Keng Hoe,B,25,M,83.44,Blk 492 Yishun Ave 4 #18-168 Singapore 2776,Singapore,SIN,Mr,7568912
8973,Loke Je Hong,A,50,M,51.18,"503 Elias Road, Singapore 1851",Singapore,SIN,Mr,5827992
9394,Khoo Chee Huat,B,24,M,2.98,"Blk 315, Ubi Avenue 1, #05-393, Singapore 1234",Singapore,SIN,Mr,8425102
9847,Low Soo Chiew,B,51,M,33.32,"Blk 42, Bedok South Road, #05-747, Singapore 1646",Singapore,SIN,Mr,4454331
9999,Seah Yang Hwee Raymond,A,61,M,67.18,"Blk 410, Sembawang Drive, #14-768, Singapore 1675",Singapore,SIN,Mr,5551082
